experimental_group,group_scope,condition_path,recording_stem,source_msrd_path,source_msrd_size_bytes,msrs_sidecar_present,h5_path,h5_present,sorting_readiness,blocking_reason,next_action,legacy_reader_status,sampling_frequency_hz,sample_count,duration_s,signal_channel_count,event_count
Actuators & Effectors,primary_experimental_group,Stim 1/352.1,2021-06-23T11-11-59McsRecording,/Volumes/MannySSD/final_chemogenetics_raw_data_2026/MANNY MEAs chemogenetics/Actuators & Effectors/Stim 1/352.1/2021-06-23T11-11-59McsRecording.msrd,1477963022,true,/Volumes/MannySSD/final_chemogenetics_raw_data_2026/MANNY MEAs chemogenetics/Actuators & Effectors/Stim 1/352.1/2021-06-23T11-11-59McsRecording.h5,true,ready_to_export_for_sorting,,"Run run_mcs_h5_prepare.py --input-msrd <source> --export-binary, then run spike sorting on the derived 59-channel binary.",validated_direct_reader,10000.0,6104000,610.4,59,10
Actuators & Effectors,primary_experimental_group,Stim 1/352.2,2021-06-23T11-27-23McsRecording,/Volumes/MannySSD/final_chemogenetics_raw_data_2026/MANNY MEAs chemogenetics/Actuators & Effectors/Stim 1/352.2/2021-06-23T11-27-23McsRecording.msrd,1476261062,true,/Volumes/MannySSD/final_chemogenetics_raw_data_2026/MANNY MEAs chemogenetics/Actuators & Effectors/Stim 1/352.2/2021-06-23T11-27-23McsRecording.h5,true,ready_to_export_for_sorting,,"Run run_mcs_h5_prepare.py --input-msrd <source> --export-binary, then run spike sorting on the derived 59-channel binary.",validated_direct_reader,10000.0,6097000,609.7,59,10
Actuators & Effectors,primary_experimental_group,Stim 1/352.3,2021-06-22T15-10-39McsRecording,/Volumes/MannySSD/final_chemogenetics_raw_data_2026/MANNY MEAs chemogenetics/Actuators & Effectors/Stim 1/352.3/2021-06-22T15-10-39McsRecording.msrd,1900,true,,false,blocked_source_too_small,The legacy .msrd file is under 1 MB and is not a plausible continuous recording.,Locate the complete recording package before attempting export.,not_attempted_small_file,,,,,
Actuators & Effectors,primary_experimental_group,Stim 1/352.3,2021-06-23T11-42-44McsRecording,/Volumes/MannySSD/final_chemogenetics_raw_data_2026/MANNY MEAs chemogenetics/Actuators & Effectors/Stim 1/352.3/2021-06-23T11-42-44McsRecording.msrd,1480624022,true,/Volumes/MannySSD/final_chemogenetics_raw_data_2026/MANNY MEAs chemogenetics/Actuators & Effectors/Stim 1/352.3/2021-06-23T11-42-44McsRecording.h5,true,ready_to_export_for_sorting,,"Run run_mcs_h5_prepare.py --input-msrd <source> --export-binary, then run spike sorting on the derived 59-channel binary.",validated_direct_reader,10000.0,6115000,611.5,59,10
Actuators & Effectors,primary_experimental_group,Stim 1/353.1,2021-06-22T15-23-26McsRecording,/Volumes/MannySSD/final_chemogenetics_raw_data_2026/MANNY MEAs chemogenetics/Actuators & Effectors/Stim 1/353.1/2021-06-22T15-23-26McsRecording.msrd,1497327082,true,/Volumes/MannySSD/final_chemogenetics_raw_data_2026/MANNY MEAs chemogenetics/Actuators & Effectors/Stim 1/353.1/2021-06-22T15-23-26McsRecording.h5,true,ready_to_export_for_sorting,,"Run run_mcs_h5_prepare.py --input-msrd <source> --export-binary, then run spike sorting on the derived 59-channel binary.",validated_direct_reader,10000.0,6184000,618.4,59,10
Actuators & Effectors,primary_experimental_group,Stim 1/353.1,2021-06-23T10-19-07McsRecording,/Volumes/MannySSD/final_chemogenetics_raw_data_2026/MANNY MEAs chemogenetics/Actuators & Effectors/Stim 1/353.1/2021-06-23T10-19-07McsRecording.msrd,255852544,true,,false,blocked_msrd_unreadable,Missing or invalid FPosNext in MCS MSRD header.,Preserve this source and investigate its file integrity before export.,failed,,,,,
Actuators & Effectors,primary_experimental_group,Stim 1/353.1,2021-06-23T10-22-25McsRecording,/Volumes/MannySSD/final_chemogenetics_raw_data_2026/MANNY MEAs chemogenetics/Actuators & Effectors/Stim 1/353.1/2021-06-23T10-22-25McsRecording.msrd,1476501062,true,,false,ready_to_export_for_sorting,,"Run run_mcs_h5_prepare.py --input-msrd <source> --export-binary, then run spike sorting on the derived 59-channel binary.",validated_direct_reader,10000.0,6098000,609.8,59,10
Actuators & Effectors,primary_experimental_group,Stim 1/353.2,2021-06-22T15-11-13McsRecording,/Volumes/MannySSD/final_chemogenetics_raw_data_2026/MANNY MEAs chemogenetics/Actuators & Effectors/Stim 1/353.2/2021-06-22T15-11-13McsRecording.msrd,95032270,true,,false,ready_to_export_for_sorting,,"Run run_mcs_h5_prepare.py --input-msrd <source> --export-binary, then run spike sorting on the derived 59-channel binary.",validated_direct_reader,10000.0,392000,39.2,59,0
Actuators & Effectors,primary_experimental_group,Stim 1/353.2,2021-06-22T15-12-53McsRecording,/Volumes/MannySSD/final_chemogenetics_raw_data_2026/MANNY MEAs chemogenetics/Actuators & Effectors/Stim 1/353.2/2021-06-22T15-12-53McsRecording.msrd,9313390,true,,false,ready_to_export_for_sorting,,"Run run_mcs_h5_prepare.py --input-msrd <source> --export-binary, then run spike sorting on the derived 59-channel binary.",validated_direct_reader,10000.0,38000,3.8,59,0
Actuators & Effectors,primary_experimental_group,Stim 1/353.2,2021-06-22T15-13-50McsRecording,/Volumes/MannySSD/final_chemogenetics_raw_data_2026/MANNY MEAs chemogenetics/Actuators & Effectors/Stim 1/353.2/2021-06-22T15-13-50McsRecording.msrd,12711450,true,,false,ready_to_export_for_sorting,,"Run run_mcs_h5_prepare.py --input-msrd <source> --export-binary, then run spike sorting on the derived 59-channel binary.",validated_direct_reader,10000.0,52000,5.2,59,0
