recording_id,source_xml_path,configured_mea_name,configured_pitch_um_inferred_from_model,hardware_id_14_label,staged_match_status,staged_n_chan_bin,staged_pitch_um,geometry_mismatch,evidence_scope
Actuators & Effectors/Stim 1/352.1/2021-06-23T11-11-59McsRecording,/nfs/turbo/umms-parent/mea_multichannel_project/raw_data/MANNY_MEAs_chemogenetics/Actuators & Effectors/Stim 1/352.1/2021-06-23T11-11-59McsRecordingMEA21000.xml,60MEA200/30iR,200,Ref,already_validated,59,200.0,false,acquisition_settings_xml; model_pitch_inference; not_physical_array_confirmation
Actuators & Effectors/Stim 1/352.2/2021-06-23T11-27-23McsRecording,/nfs/turbo/umms-parent/mea_multichannel_project/raw_data/MANNY_MEAs_chemogenetics/Actuators & Effectors/Stim 1/352.2/2021-06-23T11-27-23McsRecordingMEA21000.xml,60MEA200/30iR,200,Ref,prepared,59,200.0,false,acquisition_settings_xml; model_pitch_inference; not_physical_array_confirmation
Actuators & Effectors/Stim 1/352.3/2021-06-22T15-10-39McsRecording,/nfs/turbo/umms-parent/mea_multichannel_project/raw_data/MANNY_MEAs_chemogenetics/Actuators & Effectors/Stim 1/352.3/2021-06-22T15-10-39McsRecordingMEA21000.xml,60MEA200/30iR,200,Ref,not_in_staged_manifest,,,not_assessed,acquisition_settings_xml; model_pitch_inference; not_physical_array_confirmation
Actuators & Effectors/Stim 1/352.3/2021-06-23T11-42-44McsRecording,/nfs/turbo/umms-parent/mea_multichannel_project/raw_data/MANNY_MEAs_chemogenetics/Actuators & Effectors/Stim 1/352.3/2021-06-23T11-42-44McsRecordingMEA21000.xml,60MEA200/30iR,200,Ref,prepared,59,200.0,false,acquisition_settings_xml; model_pitch_inference; not_physical_array_confirmation
Actuators & Effectors/Stim 1/353.1/2021-06-22T15-23-26McsRecording,/nfs/turbo/umms-parent/mea_multichannel_project/raw_data/MANNY_MEAs_chemogenetics/Actuators & Effectors/Stim 1/353.1/2021-06-22T15-23-26McsRecordingMEA21000.xml,60MEA200/30iR,200,Ref,prepared,59,200.0,false,acquisition_settings_xml; model_pitch_inference; not_physical_array_confirmation
Actuators & Effectors/Stim 1/353.1/2021-06-23T10-19-07McsRecording,/nfs/turbo/umms-parent/mea_multichannel_project/raw_data/MANNY_MEAs_chemogenetics/Actuators & Effectors/Stim 1/353.1/2021-06-23T10-19-07McsRecordingMEA21000.xml,60MEA200/30iR,200,Ref,not_in_staged_manifest,,,not_assessed,acquisition_settings_xml; model_pitch_inference; not_physical_array_confirmation
Actuators & Effectors/Stim 1/353.1/2021-06-23T10-22-25McsRecording,/nfs/turbo/umms-parent/mea_multichannel_project/raw_data/MANNY_MEAs_chemogenetics/Actuators & Effectors/Stim 1/353.1/2021-06-23T10-22-25McsRecordingMEA21000.xml,60MEA200/30iR,200,Ref,prepared,59,200.0,false,acquisition_settings_xml; model_pitch_inference; not_physical_array_confirmation
Actuators & Effectors/Stim 1/353.2/2021-06-22T15-11-13McsRecording,/nfs/turbo/umms-parent/mea_multichannel_project/raw_data/MANNY_MEAs_chemogenetics/Actuators & Effectors/Stim 1/353.2/2021-06-22T15-11-13McsRecordingMEA21000.xml,60MEA200/30iR,200,Ref,prepared,59,200.0,false,acquisition_settings_xml; model_pitch_inference; not_physical_array_confirmation
Actuators & Effectors/Stim 1/353.2/2021-06-22T15-12-53McsRecording,/nfs/turbo/umms-parent/mea_multichannel_project/raw_data/MANNY_MEAs_chemogenetics/Actuators & Effectors/Stim 1/353.2/2021-06-22T15-12-53McsRecordingMEA21000.xml,60MEA200/30iR,200,Ref,prepared,59,200.0,false,acquisition_settings_xml; model_pitch_inference; not_physical_array_confirmation
Actuators & Effectors/Stim 1/353.2/2021-06-22T15-13-50McsRecording,/nfs/turbo/umms-parent/mea_multichannel_project/raw_data/MANNY_MEAs_chemogenetics/Actuators & Effectors/Stim 1/353.2/2021-06-22T15-13-50McsRecordingMEA21000.xml,60MEA200/30iR,200,Ref,prepared,59,200.0,false,acquisition_settings_xml; model_pitch_inference; not_physical_array_confirmation
Actuators & Effectors/Stim 1/353.2/2021-06-22T15-14-30McsRecording,/nfs/turbo/umms-parent/mea_multichannel_project/raw_data/MANNY_MEAs_chemogenetics/Actuators & Effectors/Stim 1/353.2/2021-06-22T15-14-30McsRecordingMEA21000.xml,60MEA200/30iR,200,Ref,prepared,59,200.0,false,acquisition_settings_xml; model_pitch_inference; not_physical_array_confirmation
Actuators & Effectors/Stim 1/353.2/2021-06-23T10-38-48McsRecording,/nfs/turbo/umms-parent/mea_multichannel_project/raw_data/MANNY_MEAs_chemogenetics/Actuators & Effectors/Stim 1/353.2/2021-06-23T10-38-48McsRecordingMEA21000.xml,60MEA200/30iR,200,Ref,prepared,59,200.0,false,acquisition_settings_xml; model_pitch_inference; not_physical_array_confirmation
