recording_id,experimental_group,condition_path,recording_stem,latest_export_status,sample_count,sampling_frequency_hz,duration_s,binary_dtype,binary_channels,binary_bytes,all_structural_checks_pass,source_label_at_index_14,event_kind,pulse_start_count,pulse_stop_count,chemical_start_count,event_count,source_gain_entry_count,gain_uv_per_count,review_flags
Actuators & Effectors/Stim 1/352.1/2021-06-23T11-11-59McsRecording,Actuators & Effectors,Stim 1/352.1,2021-06-23T11-11-59McsRecording,already_validated,6104000,10000.0,610.4,int32,59,1440544000,True,Ref,pulse_markers,5,5,0,10,60,0.059605,
Actuators & Effectors/Stim 1/352.2/2021-06-23T11-27-23McsRecording,Actuators & Effectors,Stim 1/352.2,2021-06-23T11-27-23McsRecording,prepared,6097000,10000.0,609.7,int32,59,1438892000,True,Ref,pulse_markers,5,5,0,10,60,0.059605,
Actuators & Effectors/Stim 1/352.3/2021-06-23T11-42-44McsRecording,Actuators & Effectors,Stim 1/352.3,2021-06-23T11-42-44McsRecording,prepared,6115000,10000.0,611.5,int32,59,1443140000,True,Ref,pulse_markers,5,5,0,10,60,0.059605,
Actuators & Effectors/Stim 1/353.1/2021-06-22T15-23-26McsRecording,Actuators & Effectors,Stim 1/353.1,2021-06-22T15-23-26McsRecording,prepared,6184000,10000.0,618.4,int32,59,1459424000,True,Ref,pulse_markers,5,5,0,10,60,0.059605,
Actuators & Effectors/Stim 1/353.1/2021-06-23T10-22-25McsRecording,Actuators & Effectors,Stim 1/353.1,2021-06-23T10-22-25McsRecording,prepared,6098000,10000.0,609.8,int32,59,1439128000,True,Ref,pulse_markers,5,5,0,10,60,0.059605,
Actuators & Effectors/Stim 1/353.2/2021-06-22T15-11-13McsRecording,Actuators & Effectors,Stim 1/353.2,2021-06-22T15-11-13McsRecording,prepared,392000,10000.0,39.2,int32,59,92512000,True,Ref,no_markers,0,0,0,0,60,0.059605,no_hardware_markers_not_proof_of_no_treatment
Actuators & Effectors/Stim 1/353.2/2021-06-22T15-12-53McsRecording,Actuators & Effectors,Stim 1/353.2,2021-06-22T15-12-53McsRecording,prepared,38000,10000.0,3.8,int32,59,8968000,True,Ref,no_markers,0,0,0,0,60,0.059605,shorter_than_axion_aind_30s_minimum;no_hardware_markers_not_proof_of_no_treatment
Actuators & Effectors/Stim 1/353.2/2021-06-22T15-13-50McsRecording,Actuators & Effectors,Stim 1/353.2,2021-06-22T15-13-50McsRecording,prepared,52000,10000.0,5.2,int32,59,12272000,True,Ref,no_markers,0,0,0,0,60,0.059605,shorter_than_axion_aind_30s_minimum;no_hardware_markers_not_proof_of_no_treatment
Actuators & Effectors/Stim 1/353.2/2021-06-22T15-14-30McsRecording,Actuators & Effectors,Stim 1/353.2,2021-06-22T15-14-30McsRecording,prepared,644000,10000.0,64.4,int32,59,151984000,True,Ref,pulse_markers,5,5,0,10,60,0.059605,
Actuators & Effectors/Stim 1/353.2/2021-06-23T10-38-48McsRecording,Actuators & Effectors,Stim 1/353.2,2021-06-23T10-38-48McsRecording,prepared,6101000,10000.0,610.1,int32,59,1439836000,True,Ref,pulse_markers,5,5,0,10,60,0.059605,
Actuators & Effectors/Stim 1/353.3/2021-06-23T10-54-59McsRecording,Actuators & Effectors,Stim 1/353.3,2021-06-23T10-54-59McsRecording,prepared,6107000,10000.0,610.7,int32,59,1441252000,True,Ref,pulse_markers,5,5,0,10,60,0.059605,
Actuators & Effectors/Stim 1/354.1/2021-06-23T09-29-06McsRecording,Actuators & Effectors,Stim 1/354.1,2021-06-23T09-29-06McsRecording,prepared,6102000,10000.0,610.2,int32,59,1440072000,True,Ref,pulse_markers,5,5,0,10,60,0.059605,
Actuators & Effectors/Stim 1/354.2/2021-06-23T09-47-01McsRecording,Actuators & Effectors,Stim 1/354.2,2021-06-23T09-47-01McsRecording,prepared,6101000,10000.0,610.1,int32,59,1439836000,True,Ref,pulse_markers,5,5,0,10,60,0.059605,
Actuators & Effectors/Stim 1/354.3/2021-06-23T10-02-54McsRecording,Actuators & Effectors,Stim 1/354.3,2021-06-23T10-02-54McsRecording,prepared,6106000,10000.0,610.6,int32,59,1441016000,True,Ref,pulse_markers,5,5,0,10,60,0.059605,
Actuators & Effectors/Stim 1/371.1/2021-06-23T08-26-58McsRecording,Actuators & Effectors,Stim 1/371.1,2021-06-23T08-26-58McsRecording,prepared,6093000,10000.0,609.3,int32,59,1437948000,True,Ref,pulse_markers,5,5,0,10,60,0.059605,
Actuators & Effectors/Stim 1/371.2/2021-06-23T08-52-53McsRecording,Actuators & Effectors,Stim 1/371.2,2021-06-23T08-52-53McsRecording,prepared,6161000,10000.0,616.1,int32,59,1453996000,True,Ref,pulse_markers,5,5,0,10,60,0.059605,
Actuators & Effectors/Stim 1/371.3/2021-06-23T09-09-11McsRecording,Actuators & Effectors,Stim 1/371.3,2021-06-23T09-09-11McsRecording,prepared,6160000,10000.0,616.0,int32,59,1453760000,True,Ref,pulse_markers,5,5,0,10,60,0.059605,
Actuators & Effectors/Stim 2/352.1/2021-06-24T09-45-56McsRecording,Actuators & Effectors,Stim 2/352.1,2021-06-24T09-45-56McsRecording,prepared,652000,10000.0,65.2,int32,59,153872000,True,Ref,no_markers,0,0,0,0,60,0.059605,no_hardware_markers_not_proof_of_no_treatment
