plate_type,well,row_label,row_index,column_index,default_group,treatment,notes
24_well,A1,A,1,1,unassigned,,
24_well,A2,A,1,2,unassigned,,
24_well,A3,A,1,3,unassigned,,
24_well,A4,A,1,4,unassigned,,
24_well,A5,A,1,5,unassigned,,
24_well,A6,A,1,6,unassigned,,
24_well,B1,B,2,1,unassigned,,
24_well,B2,B,2,2,unassigned,,
24_well,B3,B,2,3,unassigned,,
24_well,B4,B,2,4,unassigned,,
24_well,B5,B,2,5,unassigned,,
24_well,B6,B,2,6,unassigned,,
24_well,C1,C,3,1,unassigned,,
24_well,C2,C,3,2,unassigned,,
24_well,C3,C,3,3,unassigned,,
24_well,C4,C,3,4,unassigned,,
24_well,C5,C,3,5,unassigned,,
24_well,C6,C,3,6,unassigned,,
24_well,D1,D,4,1,unassigned,,
24_well,D2,D,4,2,unassigned,,
24_well,D3,D,4,3,unassigned,,
24_well,D4,D,4,4,unassigned,,
24_well,D5,D,4,5,unassigned,,
24_well,D6,D,4,6,unassigned,,
