plate_type,well,row_label,row_index,column_index,default_group,treatment,notes
48_well_opto,A1,A,1,1,unassigned,,
48_well_opto,A2,A,1,2,unassigned,,
48_well_opto,A3,A,1,3,unassigned,,
48_well_opto,A4,A,1,4,unassigned,,
48_well_opto,A5,A,1,5,unassigned,,
48_well_opto,A6,A,1,6,unassigned,,
48_well_opto,A7,A,1,7,unassigned,,
48_well_opto,A8,A,1,8,unassigned,,
48_well_opto,B1,B,2,1,unassigned,,
48_well_opto,B2,B,2,2,unassigned,,
48_well_opto,B3,B,2,3,unassigned,,
48_well_opto,B4,B,2,4,unassigned,,
48_well_opto,B5,B,2,5,unassigned,,
48_well_opto,B6,B,2,6,unassigned,,
48_well_opto,B7,B,2,7,unassigned,,
48_well_opto,B8,B,2,8,unassigned,,
48_well_opto,C1,C,3,1,unassigned,,
48_well_opto,C2,C,3,2,unassigned,,
48_well_opto,C3,C,3,3,unassigned,,
48_well_opto,C4,C,3,4,unassigned,,
48_well_opto,C5,C,3,5,unassigned,,
48_well_opto,C6,C,3,6,unassigned,,
48_well_opto,C7,C,3,7,unassigned,,
48_well_opto,C8,C,3,8,unassigned,,
48_well_opto,D1,D,4,1,unassigned,,
48_well_opto,D2,D,4,2,unassigned,,
48_well_opto,D3,D,4,3,unassigned,,
48_well_opto,D4,D,4,4,unassigned,,
48_well_opto,D5,D,4,5,unassigned,,
48_well_opto,D6,D,4,6,unassigned,,
48_well_opto,D7,D,4,7,unassigned,,
48_well_opto,D8,D,4,8,unassigned,,
48_well_opto,E1,E,5,1,unassigned,,
48_well_opto,E2,E,5,2,unassigned,,
48_well_opto,E3,E,5,3,unassigned,,
48_well_opto,E4,E,5,4,unassigned,,
48_well_opto,E5,E,5,5,unassigned,,
48_well_opto,E6,E,5,6,unassigned,,
48_well_opto,E7,E,5,7,unassigned,,
48_well_opto,E8,E,5,8,unassigned,,
48_well_opto,F1,F,6,1,unassigned,,
48_well_opto,F2,F,6,2,unassigned,,
48_well_opto,F3,F,6,3,unassigned,,
48_well_opto,F4,F,6,4,unassigned,,
48_well_opto,F5,F,6,5,unassigned,,
48_well_opto,F6,F,6,6,unassigned,,
48_well_opto,F7,F,6,7,unassigned,,
48_well_opto,F8,F,6,8,unassigned,,
