channel_in_well,electrode_row,electrode_col,x_um,y_um,kcoords,connected
11,1,1,0,0,0,true
21,1,2,300,0,0,true
31,1,3,600,0,0,true
41,1,4,900,0,0,true
51,1,5,1200,0,0,true
61,1,6,1500,0,0,true
71,1,7,1800,0,0,true
81,1,8,2100,0,0,true
12,2,1,0,300,0,true
22,2,2,300,300,0,true
32,2,3,600,300,0,true
42,2,4,900,300,0,true
52,2,5,1200,300,0,true
62,2,6,1500,300,0,true
72,2,7,1800,300,0,true
82,2,8,2100,300,0,true
13,3,1,0,600,0,true
23,3,2,300,600,0,true
33,3,3,600,600,0,true
43,3,4,900,600,0,true
53,3,5,1200,600,0,true
63,3,6,1500,600,0,true
73,3,7,1800,600,0,true
83,3,8,2100,600,0,true
14,4,1,0,900,0,true
24,4,2,300,900,0,true
34,4,3,600,900,0,true
44,4,4,900,900,0,true
54,4,5,1200,900,0,true
64,4,6,1500,900,0,true
74,4,7,1800,900,0,true
84,4,8,2100,900,0,true
15,5,1,0,1200,0,true
25,5,2,300,1200,0,true
35,5,3,600,1200,0,true
45,5,4,900,1200,0,true
55,5,5,1200,1200,0,true
65,5,6,1500,1200,0,true
75,5,7,1800,1200,0,true
85,5,8,2100,1200,0,true
16,6,1,0,1500,0,true
26,6,2,300,1500,0,true
36,6,3,600,1500,0,true
46,6,4,900,1500,0,true
56,6,5,1200,1500,0,true
66,6,6,1500,1500,0,true
76,6,7,1800,1500,0,true
86,6,8,2100,1500,0,true
17,7,1,0,1800,0,true
27,7,2,300,1800,0,true
37,7,3,600,1800,0,true
47,7,4,900,1800,0,true
57,7,5,1200,1800,0,true
67,7,6,1500,1800,0,true
77,7,7,1800,1800,0,true
87,7,8,2100,1800,0,true
18,8,1,0,2100,0,true
28,8,2,300,2100,0,true
38,8,3,600,2100,0,true
48,8,4,900,2100,0,true
58,8,5,1200,2100,0,true
68,8,6,1500,2100,0,true
78,8,7,1800,2100,0,true
88,8,8,2100,2100,0,true
